Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
1650	-81.93272	-84.4264	2.493679	2.572799	1.136089	0.161805	0.00137248	0.0203051	0.014426	0.00837815	0.594424	0.142474	0.0568157
1660	-78.97114	-83.96508	4.993944	1.537689	0.9210674	0.223643	0.0133571	0.0910286	0.0716613	0.122115	0.133475	0.183634	0.161087
1670	-78.97205	-85.58317	6.611114	1.217664	0.4325072	0.112132	0.00830314	0.275102	0.0945458	0.196065	0.111505	0.128172	0.0741757
1680	-79.78025	-85.35334	5.573087	1.653151	0.5160335	0.270518	0.00944494	0.254717	0.138572	0.0518509	0.0215523	0.0566489	0.196696
1690	-78.42157	-84.33071	5.90914	1.343576	0.657582	0.238661	0.0190974	0.0359759	0.158161	0.0748491	0.0366022	0.0817753	0.354877
1700	-79.44206	-83.89404	4.451973	1.908338	0.8214027	0.0449426	0.00202997	0.188499	0.150558	0.068056	0.050348	0.144008	0.351559
1710	-79.21111	-83.97351	4.762397	1.56677	1.007759	0.0449338	0.00171874	0.12078	0.0622767	0.184506	0.0426288	0.246548	0.296608
1720	-78.80376	-83.94319	5.139433	1.54038	0.8456314	0.0510735	0.0190715	0.203509	0.0692879	0.270826	0.0671249	0.280237	0.0388692
1730	-79.68577	-85.4688	5.783023	1.54038	0.5238364	0.0191824	0.0445981	0.169105	0.226095	0.340518	0.117528	0.034319	0.048655
1740	-79.3323	-83.6225	4.2902	1.779085	1.031543	0.0392335	0.147371	0.0258916	0.022571	0.442047	0.238789	0.0136146	0.0704831
1750	-79.141	-84.70725	5.56625	1.325149	0.8474535	0.59477	0.0477144	0.156106	0.0673162	0.0380139	0.0586622	0.0031062	0.034311
1760	-80.4743	-87.76912	7.294823	0.9593155	0.3490011	0.174173	0.0491734	0.11019	0.444363	0.147266	0.0177322	0.00638611	0.0507159
1770	-80.78093	-88.24038	7.459456	0.7951559	0.4308438	0.436281	0.0546677	0.144943	0.0702259	0.121052	0.0145758	0.116567	0.0416881
1780	-79.00734	-84.78013	5.772783	1.348456	0.7208803	0.385987	0.0591947	0.144014	0.0891518	0.104711	0.0474224	0.147982	0.0215375
1790	-78.51003	-83.9523	5.442267	1.510189	0.7244051	0.0876508	0.0376643	0.0219122	0.211419	0.0402811	0.0939951	0.502974	0.00410394
